time,body_index,body_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0.13500000,1,body2,2.49197146,0.00163359,-0.13488240,-0.11740119,0.02338785,-0.99740644
0.13500000,2,body3,-1.24457100,2.15892739,-0.13488240,0.07895507,-0.08997849,-0.99740644
0.13500000,3,body4,-1.24788748,-2.16140451,-0.06740712,0.03124861,0.05412418,-0.49799623
0.14000000,0,body1,0.00104732,0.00181401,-0.00073066,0.01492260,0.02584669,-0.01542778
0.14000000,1,body2,2.49137416,0.00175240,-0.13986895,-0.12151737,0.02413300,-0.99721470
0.14000000,2,body3,-1.24416946,2.15846951,-0.13986895,0.08165848,-0.09317063,-0.99721470
0.14000000,3,body4,-1.24772836,-2.16112892,-0.06989676,0.03239759,0.05611428,-0.49785670
0.14500000,0,body1,0.00112325,0.00194553,-0.00081048,0.01544953,0.02675937,-0.01650639
0.14500000,1,body2,2.49075633,0.00187490,-0.14485454,-0.12561012,0.02486626,-0.99701656
0.14500000,2,body3,-1.24375445,2.15799571,-0.14485454,0.08433987,-0.09634843,-0.99701656
0.14500000,3,body4,-1.24756350,-2.16084337,-0.07238569,0.03354549,0.05810249,-0.49771369
0.15000000,0,body1,0.00120181,0.00208160,-0.00089578,0.01597581,0.02767092,-0.01761709
0.15000000,1,body2,2.49011810,0.00200104,-0.14983911,-0.12967892,0.02558739,-0.99681206
0.15000000,2,body3,-1.24332610,2.15750605,-0.14983911,0.08699879,-0.09951154,-0.99681206
0.15000000,3,body4,-1.24739291,-2.16054790,-0.07487389,0.03469222,0.06008869,-0.49756734
0.15500000,0,body1,0.00128301,0.00222223,-0.00098671,0.01650141,0.02858129,-0.01875937
0.15500000,1,body2,2.48945958,0.00213076,-0.15482265,-0.13372325,0.02629621,-0.99660127
0.15500000,2,body3,-1.24288450,2.15700062,-0.15482265,0.08963481,-0.10265963,-0.99660127
0.15500000,3,body4,-1.24721658,-2.16024249,-0.07736135,0.03583773,0.06207278,-0.49741778
0.16000000,0,body1,0.00136683,0.00236741,-0.00108343,0.01702631,0.02949043,-0.01993269
0.16000000,1,body2,2.48878091,0.00226398,-0.15980511,-0.13774265,0.02699253,-0.99638424
0.16000000,2,body3,-1.24242979,2.15647948,-0.15980511,0.09224754,-0.10579237,-0.99638424
0.16000000,3,body4,-1.24703453,-2.15992717,-0.07984806,0.03698195,0.06405462,-0.49726518
0.16500000,0,body1,0.00145327,0.00251714,-0.00118609,0.01755047,0.03039831,-0.02113654
0.16500000,1,body2,2.48808220,0.00240066,-0.16478648,-0.14173665,0.02767619,-0.99616104
0.16500000,2,body3,-1.24196207,2.15594272,-0.16478648,0.09483661,-0.10890944,-0.99616104
0.16500000,3,body4,-1.24684677,-2.15960195,-0.08233400,0.03812480,0.06603410,-0.49710966
0.17000000,0,body1,0.00154233,0.00267140,-0.00129484,0.01807388,0.03130488,-0.02237037
0.17000000,1,body2,2.48736358,0.00254072,-0.16976671,-0.14570482,0.02834704,-0.99593172
0.17000000,2,body3,-1.24148146,2.15539041,-0.16976671,0.09740167,-0.11201056,-0.99593172
0.17000000,3,body4,-1.24665329,-2.15926684,-0.08481915,0.03926621,0.06801108,-0.49695138
0.17500000,0,body1,0.00163401,0.00283018,-0.00140984,0.01859650,0.03221009,-0.02363364
0.17500000,1,body2,2.48662519,0.00268411,-0.17474579,-0.14964678,0.02900496,-0.99569635
0.17500000,2,body3,-1.24098809,2.15482264,-0.17474579,0.09994242,-0.11509543,-0.99569635
0.17500000,3,body4,-1.24645411,-2.15892184,-0.08730351,0.04040611,0.06998543,-0.49679048
0.18000000,0,body1,0.00172829,0.00299349,-0.00153123,0.01911832,0.03311390,-0.02492582
0.18000000,1,body2,2.48586716,0.00283075,-0.17972367,-0.15356212,0.02964981,-0.99545499
0.18000000,2,body3,-1.24048208,2.15423949,-0.17972367,0.10245855,-0.11816379,-0.99545499
0.18000000,3,body4,-1.24624923,-2.15856699,-0.08978706,0.04154441,0.07195703,-0.49662711
